cet_cest_timestamp,DE_solar_generation_actual
2018-10-14 00:00:00+00:00,894241.0
2018-10-21 00:00:00+00:00,711355.0
2018-10-28 00:00:00+00:00,301432.0
2018-11-04 00:00:00+00:00,317657.0
2018-11-11 00:00:00+00:00,354454.0
2018-11-18 00:00:00+00:00,384803.0
2018-11-25 00:00:00+00:00,146049.0
2018-12-02 00:00:00+00:00,141286.0
2018-12-09 00:00:00+00:00,133635.0
2018-12-16 00:00:00+00:00,106095.0
2018-12-23 00:00:00+00:00,99847.0
2018-12-30 00:00:00+00:00,140438.0
2019-01-06 00:00:00+00:00,101295.0
2019-01-13 00:00:00+00:00,66191.0
2019-01-20 00:00:00+00:00,255614.0
2019-01-27 00:00:00+00:00,182533.0
2019-02-03 00:00:00+00:00,208703.0
2019-02-10 00:00:00+00:00,312414.0
2019-02-17 00:00:00+00:00,637848.0
2019-02-24 00:00:00+00:00,639837.0
2019-03-03 00:00:00+00:00,656916.0
2019-03-10 00:00:00+00:00,494395.0
2019-03-17 00:00:00+00:00,483995.0
2019-03-24 00:00:00+00:00,1020198.0
2019-03-31 00:00:00+00:00,937662.0
2019-04-07 00:00:00+00:00,1056026.0
2019-04-14 00:00:00+00:00,946068.0
2019-04-21 00:00:00+00:00,1598339.0
2019-04-28 00:00:00+00:00,1211006.0
2019-05-05 00:00:00+00:00,1047965.0
2019-05-12 00:00:00+00:00,1006662.0
2019-05-19 00:00:00+00:00,1331036.0
2019-05-26 00:00:00+00:00,1121336.0
2019-06-02 00:00:00+00:00,1316054.0
2019-06-09 00:00:00+00:00,1469554.0
2019-06-16 00:00:00+00:00,1239109.0
2019-06-23 00:00:00+00:00,1486479.0
2019-06-30 00:00:00+00:00,1759131.0
2019-07-07 00:00:00+00:00,1415275.0
2019-07-14 00:00:00+00:00,1104288.0
2019-07-21 00:00:00+00:00,1307014.0
2019-07-28 00:00:00+00:00,1460922.0
2019-08-04 00:00:00+00:00,1169753.0
2019-08-11 00:00:00+00:00,1118175.0
2019-08-18 00:00:00+00:00,1042319.0
2019-08-25 00:00:00+00:00,1300597.0
2019-09-01 00:00:00+00:00,1230209.0
2019-09-08 00:00:00+00:00,968414.0
2019-09-15 00:00:00+00:00,1029323.0
2019-09-22 00:00:00+00:00,1088205.0
2019-09-29 00:00:00+00:00,597709.0
2019-10-06 00:00:00+00:00,517958.0
2019-10-13 00:00:00+00:00,594230.0
2019-10-20 00:00:00+00:00,589505.0
2019-10-27 00:00:00+00:00,509914.0
2019-11-03 00:00:00+00:00,426735.0
2019-11-10 00:00:00+00:00,298205.0
2019-11-17 00:00:00+00:00,254765.0
2019-11-24 00:00:00+00:00,224251.0
2019-12-01 00:00:00+00:00,177956.0
2019-12-08 00:00:00+00:00,244710.0
2019-12-15 00:00:00+00:00,179928.0
2019-12-22 00:00:00+00:00,209291.0
2019-12-29 00:00:00+00:00,188280.0
2020-01-05 00:00:00+00:00,236737.0
2020-01-12 00:00:00+00:00,189453.0
2020-01-19 00:00:00+00:00,311728.0
2020-01-26 00:00:00+00:00,277166.0
2020-02-02 00:00:00+00:00,222148.0
2020-02-09 00:00:00+00:00,463909.0
2020-02-16 00:00:00+00:00,376280.0
2020-02-23 00:00:00+00:00,412598.0
2020-03-01 00:00:00+00:00,467275.0
2020-03-08 00:00:00+00:00,541894.0
2020-03-15 00:00:00+00:00,745576.0
2020-03-22 00:00:00+00:00,1009915.0
2020-03-29 00:00:00+00:00,1363678.0
2020-04-05 00:00:00+00:00,1335924.0
2020-04-12 00:00:00+00:00,1567989.0
2020-04-19 00:00:00+00:00,1449365.0
2020-04-26 00:00:00+00:00,1693370.0
2020-05-03 00:00:00+00:00,1085312.0
2020-05-10 00:00:00+00:00,1478242.0
2020-05-17 00:00:00+00:00,1298393.0
2020-05-24 00:00:00+00:00,1362260.0
2020-05-31 00:00:00+00:00,1585780.0
2020-06-07 00:00:00+00:00,1341077.0
2020-06-14 00:00:00+00:00,1113499.0
2020-06-21 00:00:00+00:00,1211989.0
2020-06-28 00:00:00+00:00,1651016.0
2020-07-05 00:00:00+00:00,1366699.0
2020-07-12 00:00:00+00:00,1349261.0
2020-07-19 00:00:00+00:00,1342790.0
2020-07-26 00:00:00+00:00,1468775.0
2020-08-02 00:00:00+00:00,1488508.0
2020-08-09 00:00:00+00:00,1511255.0
2020-08-16 00:00:00+00:00,1319615.0
2020-08-23 00:00:00+00:00,1199953.0
2020-08-30 00:00:00+00:00,955451.0
2020-09-06 00:00:00+00:00,1015203.0
2020-09-13 00:00:00+00:00,1267575.0
2020-09-20 00:00:00+00:00,1332377.0
2020-09-27 00:00:00+00:00,821547.0
2020-10-04 00:00:00+00:00,316511.0
