datetime_Europe_Brussels,solar_actual_MWh
2024-06-16 10:00:00+02:00,123955.0
2024-06-16 11:00:00+02:00,136952.0
2024-06-16 12:00:00+02:00,139091.0
2024-06-16 13:00:00+02:00,134463.0
2024-06-16 14:00:00+02:00,128574.0
2024-06-16 15:00:00+02:00,116018.0
2024-06-16 16:00:00+02:00,97361.0
2024-06-16 17:00:00+02:00,73768.0
2024-06-16 18:00:00+02:00,46229.0
2024-06-16 19:00:00+02:00,21944.0
2024-06-16 20:00:00+02:00,7436.0
2024-06-16 21:00:00+02:00,730.0
2024-06-16 22:00:00+02:00,1.0
2024-06-16 23:00:00+02:00,0.0
2024-06-17 00:00:00+02:00,0.0
2024-06-17 01:00:00+02:00,0.0
2024-06-17 02:00:00+02:00,0.0
2024-06-17 03:00:00+02:00,0.0
2024-06-17 04:00:00+02:00,37.0
2024-06-17 05:00:00+02:00,2234.0
2024-06-17 06:00:00+02:00,12077.0
2024-06-17 07:00:00+02:00,29322.0
2024-06-17 08:00:00+02:00,53527.0
2024-06-17 09:00:00+02:00,82073.0
2024-06-17 10:00:00+02:00,107282.0
2024-06-17 11:00:00+02:00,122775.0
2024-06-17 12:00:00+02:00,130210.0
2024-06-17 13:00:00+02:00,131551.0
2024-06-17 14:00:00+02:00,124879.0
2024-06-17 15:00:00+02:00,112173.0
2024-06-17 16:00:00+02:00,92571.0
2024-06-17 17:00:00+02:00,69854.0
2024-06-17 18:00:00+02:00,44578.0
2024-06-17 19:00:00+02:00,23368.0
2024-06-17 20:00:00+02:00,9146.0
2024-06-17 21:00:00+02:00,894.0
2024-06-17 22:00:00+02:00,1.0
2024-06-17 23:00:00+02:00,0.0
2024-06-18 00:00:00+02:00,0.0
2024-06-18 01:00:00+02:00,0.0
2024-06-18 02:00:00+02:00,0.0
2024-06-18 03:00:00+02:00,0.0
2024-06-18 04:00:00+02:00,42.0
2024-06-18 05:00:00+02:00,2736.0
2024-06-18 06:00:00+02:00,16040.0
2024-06-18 07:00:00+02:00,42248.0
2024-06-18 08:00:00+02:00,79192.0
2024-06-18 09:00:00+02:00,115981.0
2024-06-18 10:00:00+02:00,142281.0
2024-06-18 11:00:00+02:00,152544.0
2024-06-18 12:00:00+02:00,153076.0
2024-06-18 13:00:00+02:00,145288.0
2024-06-18 14:00:00+02:00,132024.0
2024-06-18 15:00:00+02:00,115778.0
2024-06-18 16:00:00+02:00,93189.0
2024-06-18 17:00:00+02:00,64628.0
2024-06-18 18:00:00+02:00,38157.0
2024-06-18 19:00:00+02:00,17370.0
2024-06-18 20:00:00+02:00,5129.0
2024-06-18 21:00:00+02:00,323.0
2024-06-18 22:00:00+02:00,2.0
2024-06-18 23:00:00+02:00,0.0
2024-06-19 00:00:00+02:00,0.0
2024-06-19 01:00:00+02:00,0.0
2024-06-19 02:00:00+02:00,0.0
2024-06-19 03:00:00+02:00,0.0
2024-06-19 04:00:00+02:00,17.0
2024-06-19 05:00:00+02:00,1500.0
2024-06-19 06:00:00+02:00,9888.0
2024-06-19 07:00:00+02:00,24497.0
2024-06-19 08:00:00+02:00,44550.0
2024-06-19 09:00:00+02:00,67075.0
2024-06-19 10:00:00+02:00,87469.0
2024-06-19 11:00:00+02:00,101764.0
2024-06-19 12:00:00+02:00,110412.0
2024-06-19 13:00:00+02:00,115705.0
